COOPER,Stuart,Stuart COOPER,Canada,0R1,Parcours/0R1.html,0
COPELAND,Bill,Bill COPELAND,usa,CDB,Parcours/CDB.html,0
CORIASCO,Sandro,Sandro CORIASCO,Italy,COS,Parcours/COS.html,0
CORNEILLE,Mike,Mike CORNEILLE,USA,CEM,Parcours/CEM.html,0
CORNWELL,Richard,Richard CORNWELL,Australia,CLR,Parcours/CLR.html,0
CORRADINI,Claudio,Claudio CORRADINI,Italy,CIC,Parcours/CIC.html,0
CORRIGAN,Eoin,Eoin CORRIGAN,Ireland,C2E,Parcours/C2E.html,0
CORSO,Federico,Federico CORSO,Italy,COF,Parcours/COF.html,0
COUPé,Laurent,Laurent COUPé,France,CEL,Parcours/CEL.html,0
COVEY,Joel,Joel COVEY,USA,0YJ,Parcours/0YJ.html,0
COWARD,Geoff,Geoff COWARD,USA,C7G,Parcours/C7G.html,0
COX,Derek,Derek COX,UK,CXD,Parcours/CXD.html,0
COYLE,Jeff,Jeff COYLE,USA,CEJ,Parcours/CEJ.html,0
CRATER,Zeke,Zeke CRATER,USA,CRZ,Parcours/CRZ.html,0
CRAWFORD,Brent,Brent CRAWFORD,USA,C7B,Parcours/C7B.html,0
CREUTZ,Dave,Dave CREUTZ,USA,CZD,Parcours/CZD.html,0
CRIBBS,Jamie,Jamie CRIBBS,USA,C1J,Parcours/C1J.html,0
